scenario,n_eval_frames,n_anomaly_pixels,pixel_auroc,pixel_ap,refined_auroc,refined_ap
Scenario_07102b14,19,2109,0.9210,0.0016,0.7762,0.0010
Scenario_20ece496,19,307,0.8507,0.0002,0.6316,0.0001
Scenario_264fe235,19,7513,0.6876,0.0016,0.6958,0.0025
Scenario_2d772ece,19,626,0.7450,0.0001,0.4707,0.0001
Scenario_341f36c3,19,1650,0.9053,0.0013,0.8548,0.0017
Scenario_39aa6637,19,1419901,0.2876,0.1156,0.3742,0.1519
Scenario_59b08483,19,36048,0.7186,0.0078,0.8078,0.0188
Scenario_8fd38856,19,29718,0.7447,0.0068,0.5115,0.0042
Scenario_a273ff44,19,294327,0.7270,0.1211,0.7781,0.1894
Scenario_b7875365,19,25614,0.5963,0.0039,0.7897,0.0122
Scenario_ca0b88e9,19,9793,0.9032,0.0124,0.8726,0.0430
Scenario_db84c49b,19,246093,0.7640,0.0992,0.9650,0.4618
Scenario_df1a6b6c,19,153,0.8370,0.0001,0.7956,0.0001
Scenario_e72476fb,19,31249,0.8226,0.0149,0.9043,0.0370
Scenario_f428d1ac,19,44,0.8230,0.0000,0.6805,0.0000
Scenario_f8e7ab2f,19,4329,0.8571,0.0019,0.6767,0.0015
MACRO_mean,304,2109474,0.7619,0.0243,0.7241,0.0578
MICRO_pooled,304,2109474,0.5498,0.0181,0.5799,0.0290
